Fecha;PM10;PM2-5;Velo-viento;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;Temperatura;Radiación;HT;;;;;;CO2;BBP;BC ug/m3
1/01/2021 1:00;21,6;21,6;0;0;333;1;0,6;11,3;16,4;27,7;0,2;12;0;85,46;;;;;;514;0;0
1/01/2021 2:00;30,9;25;0,3;0;263;0,7;0,8;17,9;14,6;32,4;0,3;12,3;0;85,88;;;;;;534;0;0
1/01/2021 3:00;35,7;0;0,3;0;215;0,9;0,8;18,1;14,5;32,7;0,4;12,2;0;85,95;;;;;;524;0;0
1/01/2021 4:00;42,2;0;0,1;0;245;0,9;0,8;20,1;12,4;32,5;0,4;11,7;0;86,27;;;;;;551;0;0
1/01/2021 5:00;52,5;52,5;0,3;0;350;0,9;0,8;21,7;11;32,7;0,4;11,6;0;86,5;;;;;;565;0;0
1/01/2021 6:00;50;49;0,3;0;340;1,2;0,7;18,5;11,3;29,8;0,4;11,3;0;86,52;;;;;;537;0;0
1/01/2021 7:00;51,4;37;0,1;0;211;2,1;0,5;7,1;12;19,1;0,4;11,7;29;86,26;;;;;;498;0;0
1/01/2021 8:00;50,2;24;0,5;0;148;9,4;0,5;11,9;10,5;22,4;0,8;17,1;250;70,31;;;;;;457;0;0
1/01/2021 9:00;36,6;17;0,9;0;92;20,1;0,1;1,3;2,5;3,9;0,5;20,4;487;46,76;;;;;;431;0;0
1/01/2021 10:00;26,9;0;2,8;0;127;22,3;0,1;0,7;1,7;2,5;0,6;20,7;697;43,2;;;;;;429;0;0
1/01/2021 11:00;18,9;0;3,1;0;137;22,9;0,1;0,6;1,5;2,1;0,6;19,7;659;44,47;;;;;;430;0;0
1/01/2021 12:00;13,2;0;2,9;0;143;22,1;0,1;0,7;1,7;2,5;0,6;20,5;685;43,67;;;;;;430;0;0
1/01/2021 13:00;9,7;3;3,2;0;132;20,6;0,1;0,9;1,9;2,7;0,6;20,3;599;44,75;;;;;;429;0;0
1/01/2021 14:00;8,3;3;3;0;140;20,8;0,1;0,9;2,1;3;0,6;18,2;272;50,1;;;;;;431;0;0
1/01/2021 15:00;6,5;2;1,6;0;125;20,5;0,2;0,9;2,4;3,3;0,7;17,6;194;50,79;;;;;;427;0;0
1/01/2021 16:00;4,9;4,9;2,5;0;112;21,1;0,1;0,9;2,1;3;0,6;18,7;327;46,58;;;;;;425;0;0
1/01/2021 17:00;4,7;0;3;0;122;21,1;0,1;0,8;2,1;2,9;0,6;18,5;244;43,86;;;;;;429;0;0
1/01/2021 18:00;3,7;0;1,7;0;72;16,9;0,2;1;5,1;6,1;0,7;16,7;42;50,83;;;;;;431;0;0
1/01/2021 19:00;3;0;1;0;129;9,7;0,2;0,6;9,5;10,2;0,6;13,5;0;61,29;;;;;;457;0;0
1/01/2021 20:00;2,3;0;0,4;0;165;9,4;0,2;0,6;10,5;11,1;0,6;13,6;0;63,71;;;;;;451;0;0
1/01/2021 21:00;1,9;0;0,9;0;151;10,5;0,2;0,4;8,7;9,2;0,6;12,5;0;68,09;;;;;;450;0;0
1/01/2021 22:00;1,7;0;0,1;0;183;6,8;0,2;3,1;10,2;13,4;0,6;11,7;0;73,65;;;;;;477;0;0
1/01/2021 23:00;1,7;0;0,1;0;305;1,6;0,3;4,2;15,3;19,5;0,6;12,1;0;74,58;;;;;;494;0;0
2/01/2021 0:00;3,5;0;1,2;0;350;2,3;0,3;2,8;15,2;18;0,6;12,5;0;74,59;;;;;;483;0;0
2/01/2021 1:00;6;6;0,8;0;325;3,3;0,3;1,3;14,6;16;0,3;12,5;0;74,99;;;;;;473;0;0
